F(20K)		30.056609dB

40k		-58.619021dB		‭1172.3274929393173412054015535605‬E-6
60k		-41.278265dB		8631.5094430800323147884121244796E-6
80k		-73.073394dB		‭221.98840971541497554279613778105‬E-6
100k		-62.506739dB		‭749.31262501749938214702686084025‬E-6
120k		-73.102707dB		‭221.24050952786057646226297606456‬E-6
140k		-73.723334dB		‭205.98391109382599379102914646778‬E-6
160k		-73.726959dB		‭205.89796297371172284243040497262‬E-6
180k		-77.323405dB		‭136.09110801730741426185312738275‬E-6
200k		-74.30418dB		‭192.65975337175335969222635640228‬E-6
220k		-83.973206dB		‭63.290670994716319998480939407157‬E-6

THD = 0.02751



