Freq.	V(out)
1.00000000000000e-002	-3.52448195154158e-002,6.63402839673679e-002
1.00043885104840e-002	-3.52755308316317e-002,6.63724629364296e-002
1.00087789468704e-002	-3.53062687070696e-002,6.64046600374608e-002
1.00131713100044e-002	-3.53370331643421e-002,6.64368752836404e-002
1.00175656007316e-002	-3.53678242260854e-002,6.64691086881605e-002
1.00219618198978e-002	-3.53986419149485e-002,6.65013602642252e-002
1.00263599683495e-002	-3.54294862536040e-002,6.65336300250516e-002
1.00307600469332e-002	-3.54603572647400e-002,6.65659179838689e-002
1.00351620564960e-002	-3.54912549710648e-002,6.65982241539194e-002
1.00395659978854e-002	-3.55221793953051e-002,6.66305485484577e-002
1.00439718719490e-002	-3.55531305602063e-002,6.66628911807509e-002
1.00483796795351e-002	-3.55841084885326e-002,6.66952520640792e-002
1.00527894214921e-002	-3.56151132030667e-002,6.67276312117349e-002
1.00572010986691e-002	-3.56461447266100e-002,6.67600286370233e-002
1.00616147119151e-002	-3.56772030819828e-002,6.67924443532623e-002
1.00660302620800e-002	-3.57082882920249e-002,6.68248783737824e-002
1.00704477500138e-002	-3.57394003795937e-002,6.68573307119269e-002
1.00748671765667e-002	-3.57705393675664e-002,6.68898013810518e-002
1.00792885425896e-002	-3.58017052788379e-002,6.69222903945257e-002
1.00837118489336e-002	-3.58328981363244e-002,6.69547977657304e-002
1.00881370964502e-002	-3.58641179629568e-002,6.69873235080596e-002
1.00925642859914e-002	-3.58953647816895e-002,6.70198676349208e-002
1.00969934184093e-002	-3.59266386154921e-002,6.70524301597334e-002
1.01014244945566e-002	-3.59579394873553e-002,6.70850110959301e-002
1.01058575152864e-002	-3.59892674202881e-002,6.71176104569564e-002
1.01102924814519e-002	-3.60206224373182e-002,6.71502282562704e-002
1.01147293939070e-002	-3.60520045614923e-002,6.71828645073432e-002
1.01191682535058e-002	-3.60834138158770e-002,6.72155192236588e-002
1.01236090611027e-002	-3.61148502235550e-002,6.72481924187138e-002
1.01280518175528e-002	-3.61463138076325e-002,6.72808841060182e-002
1.01324965237111e-002	-3.61778045912311e-002,6.73135942990944e-002
1.01369431804334e-002	-3.62093225974921e-002,6.73463230114779e-002
1.01413917885757e-002	-3.62408678495771e-002,6.73790702567172e-002
1.01458423489943e-002	-3.62724403706665e-002,6.74118360483739e-002
1.01502948625461e-002	-3.63040401839580e-002,6.74446204000220e-002
1.01547493300880e-002	-3.63356673126694e-002,6.74774233252490e-002
1.01592057524777e-002	-3.63673217800394e-002,6.75102448376552e-002
1.01636641305731e-002	-3.63990036093228e-002,6.75430849508540e-002
1.01681244652324e-002	-3.64307128237950e-002,6.75759436784716e-002
1.01725867573142e-002	-3.64624494467517e-002,6.76088210341476e-002
1.01770510076775e-002	-3.64942135015053e-002,6.76417170315342e-002
1.01815172171818e-002	-3.65260050113893e-002,6.76746316842971e-002
1.01859853866869e-002	-3.65578239997548e-002,6.77075650061147e-002
1.01904555170528e-002	-3.65896704899739e-002,6.77405170106789e-002
1.01949276091401e-002	-3.66215445054365e-002,6.77734877116942e-002
1.01994016638097e-002	-3.66534460695531e-002,6.78064771228788e-002
1.02038776819229e-002	-3.66853752057509e-002,6.78394852579635e-002
1.02083556643413e-002	-3.67173319374786e-002,6.78725121306925e-002
